id,event_ar,fact_ar,category,used,used_date
1,رمضان,أول رمضان صامه المسلمون كان في السنة الثانية للهجرة,تاريخ,No,
2,رمضان,الصيام يحسن صحة الدماغ ويجدد الخلايا العصبية,صحة,No,
3,رمضان,السعودية توزع أكثر من 10 مليون وجبة إفطار يومياً في رمضان,إحصائيات,No,
4,رمضان,ليلة القدر خير من ألف شهر - أي ما يعادل 83 سنة من العبادة,دين,No,
5,رمضان,الصيام يحفز إنتاج هرمون النمو البشري بنسبة تصل إلى 1300%,صحة,No,
6,رمضان,المسجد النبوي يستقبل أكثر من مليون مصلٍ في صلاة التراويح,إحصائيات,No,
7,رمضان,القهوة العربية من أهم تقاليد الإفطار السعودي منذ قرون,ثقافة,No,
8,رمضان,الصيام يساعد على تنظيف الجسم من السموم بشكل طبيعي,صحة,No,
9,رمضان,أكثر من 1.8 مليار مسلم حول العالم يصومون رمضان,إحصائيات,No,
10,رمضان,التمر والماء سنة نبوية للإفطار ومفيدة صحياً لرفع السكر تدريجياً,صحة,No,
11,رمضان,الحرم المكي يوزع 30 مليون لتر من ماء زمزم في رمضان,إحصائيات,No,
12,رمضان,فرض الصيام في شعبان من السنة الثانية للهجرة,تاريخ,No,
13,رمضان,القرآن الكريم نزل في ليلة القدر من شهر رمضان,دين,No,
14,رمضان,السحور بركة ويساعد على تحمل الصيام طوال اليوم,صحة,No,
15,رمضان,مكة المكرمة تشهد أطول ساعات صيام في العالم العربي,إحصائيات,No,
16,عيد الفطر,صلاة العيد سنة مؤكدة عن النبي محمد ﷺ,دين,No,
17,عيد الفطر,العيدية تقليد إسلامي عمره أكثر من 1000 سنة,ثقافة,No,
18,عيد الفطر,زكاة الفطر واجبة على كل مسلم قبل صلاة العيد,دين,No,
19,عيد الفطر,الكليجا والمعمول من أشهر حلويات العيد السعودية,ثقافة,No,
20,عيد الفطر,صلاة العيد تُصلى بعد شروق الشمس بربع ساعة تقريباً,دين,No,
21,عيد الفطر,التكبير يبدأ من غروب شمس آخر يوم رمضان,دين,No,
22,عيد الفطر,السعوديون يستهلكون أكثر من 50 ألف طن من الحلويات في العيد,إحصائيات,No,
23,عيد الفطر,لبس الجديد في العيد سنة نبوية ومظهر من مظاهر الفرح,ثقافة,No,
24,عيد الفطر,صلة الرحم وزيارة الأهل من أهم شعائر العيد,ثقافة,No,
25,عيد الفطر,العيد يأتي بعد شهر كامل من الصيام والعبادة,دين,No,
26,عيد الأضحى,يوم عرفة أفضل يوم طلعت فيه الشمس,دين,No,
27,عيد الأضحى,السعودية تستقبل أكثر من 2 مليون حاج سنوياً,إحصائيات,No,
28,عيد الأضحى,الأضحية سنة مؤكدة عن النبي إبراهيم عليه السلام,دين,No,
29,عيد الأضحى,مشروع الإفادة من الهدي والأضاحي يوزع اللحوم على 27 دولة,إحصائيات,No,
30,عيد الأضحى,صيام يوم عرفة يكفر ذنوب سنتين,دين,No,
31,عيد الأضحى,أيام التشريق الثلاثة هي أيام أكل وشرب وذكر لله,دين,No,
32,عيد الأضحى,الحج الركن الخامس من أركان الإسلام,دين,No,
33,عيد الأضحى,جبل عرفات يقع على بعد 20 كم من مكة المكرمة,جغرافيا,No,
34,عيد الأضحى,التكبير في عيد الأضحى يستمر من فجر عرفة حتى عصر آخر أيام التشريق,دين,No,
35,عيد الأضحى,منى تستوعب أكثر من 2.5 مليون حاج في وقت واحد,إحصائيات,No,
