date,event_ar,event_en,emoji,hashtag,priority,notes
2026-02-17,رمضان,Ramadan,🌙,#رمضان,1,Estimated date - verify with lunar calendar
2026-02-22,يوم التأسيس,Founding Day,🏰,#يوم_التأسيس,2,Fixed date every year
2026-03-19,عيد الفطر,Eid Al-Fitr,🎉,#عيد_الفطر,1,Estimated date - verify with lunar calendar
2026-06-06,عيد الأضحى,Eid Al-Adha,🐑,#عيد_الأضحى,1,Estimated date - verify with lunar calendar
2026-09-23,اليوم الوطني,National Day,🇸🇦,#اليوم_الوطني_السعودي,1,Fixed date every year
2026-10-15,موسم الرياض,Riyadh Season,🎭,#موسم_الرياض,3,Approximate start - verify annually
2026-02-20,كأس السعودية,Saudi Cup,🏇,#كأس_السعودية,3,Usually late February
2027-02-06,رمضان,Ramadan,🌙,#رمضان,1,Estimated date - verify with lunar calendar
2027-02-22,يوم التأسيس,Founding Day,🏰,#يوم_التأسيس,2,Fixed date every year
2027-03-08,عيد الفطر,Eid Al-Fitr,🎉,#عيد_الفطر,1,Estimated date - verify with lunar calendar
2027-05-27,عيد الأضحى,Eid Al-Adha,🐑,#عيد_الأضحى,1,Estimated date - verify with lunar calendar
2027-09-23,اليوم الوطني,National Day,🇸🇦,#اليوم_الوطني_السعودي,1,Fixed date every year
2034-11-15,كأس العالم 2034,FIFA World Cup 2034,⚽,#كأس_العالم_2034,1,Major event - long countdown
